uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName,identificationHistoryID
"2fb96591-2e3a-420f-ac90-92ac067cc628","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-10-02T20:35Z","2018-10-03T12:14Z","2019-03-21","OSBS_056.20181003.0814.S.01",,"Y",4,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","nigripalpus",,"Culex nigripalpus","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"fee38e7f-91a1-43ee-a209-932c259ef5d3","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-10-02T20:35Z","2018-10-03T12:14Z","2019-03-21","OSBS_056.20181003.0814.S.01",,"Y",45,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Coquillettidia","Coquillettidia","perturbans",,"Coquillettidia perturbans","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"2eb1077a-c843-4f0b-b631-91bd30f5e942","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-10-02T20:35Z","2018-10-03T12:14Z","2019-03-21","OSBS_056.20181003.0814.S.01",,"Y",118,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"f0f4f305-d835-498f-a0d7-4c287edbc240","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-10-02T20:35Z","2018-10-03T12:14Z","2019-03-21","OSBS_056.20181003.0814.S.01",,"Y",18,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Mansonia","Mansonia","titillans",,"Mansonia titillans","(Walker, 1848)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"366b4c1a-7054-4195-9548-b75c9e490508","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-10-02T20:35Z","2018-10-03T12:14Z","2019-03-21","OSBS_056.20181003.0814.S.01",,"Y",13,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","crucians",,"Anopheles crucians","Wiedemann, 1828","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"12323414-a948-4325-8330-154fb858a070","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-10-02T20:35Z","2018-10-03T12:14Z","2019-03-21","OSBS_056.20181003.0814.S.01",,"Y",2,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Coquillettidia","Coquillettidia","perturbans",,"Coquillettidia perturbans","(Walker, 1856)","species","N",,"M","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"c7928c18-7d78-400d-9c14-5a3da7f03fa1","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2018-10-02T20:44Z","2018-10-03T12:26Z","2019-03-21","OSBS_057.20181003.0826.S.01",,"Y",98,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"2061c655-7904-4cc8-aef4-6dff1f42af41","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2018-10-02T20:44Z","2018-10-03T12:26Z","2019-03-21","OSBS_057.20181003.0826.S.01",,"Y",14,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","nigripalpus",,"Culex nigripalpus","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"1753eaa6-b7fb-44f5-9a81-3827fc12da8a","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2018-10-02T20:44Z","2018-10-03T12:26Z","2019-03-21","OSBS_057.20181003.0826.S.01",,"Y",57,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Coquillettidia","Coquillettidia","perturbans",,"Coquillettidia perturbans","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"29b9c8cc-14e6-4fd2-8dda-1224f1e95f40","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2018-10-02T20:44Z","2018-10-03T12:26Z","2019-03-21","OSBS_057.20181003.0826.S.01",,"Y",1,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","crucians",,"Anopheles crucians","Wiedemann, 1828","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
