startDateTime,endDateTime,sensorDepth,sensorDepthExpUncert,sensorDepthFinalQF,specificConductance,specificConductanceExpUncert,specificCondFinalQF,dissolvedOxygen,dissolvedOxygenExpUncert,dissolvedOxygenFinalQF,seaLevelDissolvedOxygenSat,seaLevelDOSatExpUncert,seaLevelDOSatFinalQF,localDissolvedOxygenSat,localDOSatExpUncert,localDOSatFinalQF,pH,pHExpUncert,pHFinalQF,chlorophyll,chlorophyllExpUncert,chlorophyllFinalQF,chlaRelativeFluorescence,chlaRelFluoroExpUncert,chlaRelFluoroFinalQF,turbidity,turbidityExpUncert,turbidityFinalQF,fDOM,rawCalibratedfDOM,fDOMExpUncert,fDOMFinalQF,buoyNAFlag
"2020-04-01T00:00:00Z","2020-04-01T00:05:00Z",,,,,,1,,,1,,,1,,,,,,1,,,1,,,,,,1,,,,1,0
"2020-04-01T00:07:01Z","2020-04-01T00:07:01Z",0.4,0.0,,62.79,0.73,0,5.07,0.10,0,62.47,1.24,0,,,,4.87,0.06,0,11.45,0.48,0,,,,1.54,0.02,0,296.92,245.18,678.73,0,0
"2020-04-01T00:12:01Z","2020-04-01T00:12:01Z",0.4,0.0,,62.78,0.73,0,5.05,0.10,0,62.27,1.23,0,,,,4.95,0.06,0,11.64,0.48,0,,,,1.61,0.03,0,298.31,246.33,681.91,0,0
"2020-04-01T00:17:01Z","2020-04-01T00:17:01Z",0.4,0.0,,62.87,0.74,0,5.08,0.10,0,62.63,1.24,0,,,,4.96,0.06,0,11.40,0.47,0,,,,1.62,0.03,0,298.40,246.39,681.98,0,0
"2020-04-01T00:22:01Z","2020-04-01T00:22:01Z",0.4,0.0,,62.84,0.74,0,5.07,0.10,0,62.45,1.24,0,,,,4.95,0.06,0,11.51,0.48,0,,,,1.46,0.02,0,298.26,246.25,681.67,0,0
"2020-04-01T00:27:01Z","2020-04-01T00:27:01Z",0.4,0.0,,62.91,0.74,0,5.08,0.10,0,62.62,1.24,0,,,,4.96,0.06,0,11.80,0.49,0,,,,1.61,0.03,0,298.09,246.16,681.27,0,0
"2020-04-01T00:32:01Z","2020-04-01T00:32:01Z",0.4,0.0,,62.88,0.74,0,5.09,0.10,0,62.75,1.24,0,,,,4.95,0.06,0,11.49,0.48,0,,,,1.88,0.03,0,298.28,246.31,681.80,0,0
"2020-04-01T00:37:01Z","2020-04-01T00:37:01Z",0.4,0.0,,62.88,0.74,0,5.09,0.10,0,62.79,1.24,0,,,,4.95,0.06,0,11.43,0.48,0,,,,1.71,0.03,0,298.07,246.16,681.31,0,0
"2020-04-01T00:42:01Z","2020-04-01T00:42:01Z",0.4,0.0,,62.88,0.74,0,5.09,0.10,0,62.69,1.24,0,,,,4.95,0.06,0,11.39,0.47,0,,,,1.72,0.03,0,298.15,246.31,681.50,0,0
"2020-04-01T00:47:01Z","2020-04-01T00:47:01Z",0.4,0.0,,62.86,0.74,0,5.10,0.10,0,62.86,1.24,0,,,,4.95,0.06,0,11.51,0.48,0,,,,1.70,0.03,0,298.21,246.40,681.60,0,0
