uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName,identificationHistoryID
"ff786447-08f3-454e-aaa8-d55e557b7bb3","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-09-04T20:41Z","2018-09-05T12:23Z","2018-10-31","OSBS_056.20180905.0823.S.01",,"Y",40,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Coquillettidia","Coquillettidia","perturbans",,"Coquillettidia perturbans","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"b79977f3-0998-49ff-a763-ae6505b6cded","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-09-04T20:41Z","2018-09-05T12:23Z","2018-10-31","OSBS_056.20180905.0823.S.01",,"Y",13,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Mansonia","Mansonia","titillans",,"Mansonia titillans","(Walker, 1848)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"49a4d107-55ec-423a-b151-ab23959fc8a1","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-09-04T20:41Z","2018-09-05T12:23Z","2018-10-31","OSBS_056.20180905.0823.S.01",,"Y",6,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","crucians",,"Anopheles crucians","Wiedemann, 1828","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"9f65c0ca-c6d2-4eab-b9bb-cba6a3947f72","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-09-04T20:41Z","2018-09-05T12:23Z","2018-10-31","OSBS_056.20180905.0823.S.01",,"Y",10,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","nigripalpus",,"Culex nigripalpus","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"9fb878ad-4585-4499-8a5e-0c404fdf93cb","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-09-04T20:41Z","2018-09-05T12:23Z","2018-10-31","OSBS_056.20180905.0823.S.01",,"Y",131,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"ccaa0363-9b6d-4e56-a2a1-1dad03278963","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2018-09-04T20:58Z","2018-09-05T12:05Z","2018-10-31","OSBS_057.20180905.0805.S.01",,"Y",14,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","nigripalpus",,"Culex nigripalpus","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"b2583984-2f27-4d99-b235-210a804f24a4","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2018-09-04T20:58Z","2018-09-05T12:05Z","2018-10-31","OSBS_057.20180905.0805.S.01",,"Y",1,"CULCOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","coronator",,"Culex coronator","Dyar and Knab, 1906","species","A",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"ec5b7d89-9cbe-4b2a-8392-adc0872f7a37","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2018-09-04T20:58Z","2018-09-05T12:05Z","2018-10-31","OSBS_057.20180905.0805.S.01",,"Y",100,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"70f3ea6a-114a-4991-b89f-0ad5f4be8f78","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2018-09-04T20:58Z","2018-09-05T12:05Z","2018-10-31","OSBS_057.20180905.0805.S.01",,"Y",80,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Coquillettidia","Coquillettidia","perturbans",,"Coquillettidia perturbans","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"8c14f6dc-47ee-4dd2-9fea-b3ba04232f87","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2018-09-04T20:58Z","2018-09-05T12:05Z","2018-10-31","OSBS_057.20180905.0805.S.01",,"Y",5,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Mansonia","Mansonia","titillans",,"Mansonia titillans","(Walker, 1848)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
