startDateTime,endDateTime,sensorDepth,sensorDepthExpUncert,sensorDepthFinalQF,specificConductance,specificConductanceExpUncert,specificCondFinalQF,dissolvedOxygen,dissolvedOxygenExpUncert,dissolvedOxygenFinalQF,seaLevelDissolvedOxygenSat,seaLevelDOSatExpUncert,seaLevelDOSatFinalQF,localDissolvedOxygenSat,localDOSatExpUncert,localDOSatFinalQF,pH,pHExpUncert,pHFinalQF,chlorophyll,chlorophyllExpUncert,chlorophyllFinalQF,chlaRelativeFluorescence,chlaRelFluoroExpUncert,chlaRelFluoroFinalQF,turbidity,turbidityExpUncert,turbidityFinalQF,fDOM,rawCalibratedfDOM,fDOMExpUncert,fDOMFinalQF,buoyNAFlag
"2019-06-01T00:02:11Z","2019-06-01T00:02:11Z",0.1,0.0,,65.50,0.77,0,3.08,0.06,0,41.05,0.81,1,,,,4.89,0.06,0,14.10,0.59,0,,,,1.53,0.02,0,318.92,200.06,586.01,1,0
"2019-06-01T00:07:11Z","2019-06-01T00:07:11Z",0.1,0.0,,65.54,0.77,0,2.91,0.06,0,38.75,0.77,1,,,,4.88,0.06,0,14.22,0.59,0,,,,1.49,0.02,0,320.36,201.40,588.64,1,0
"2019-06-01T00:12:11Z","2019-06-01T00:12:11Z",0.1,0.0,,65.49,0.77,0,3.09,0.06,0,41.12,0.81,1,,,,4.89,0.06,0,14.18,0.59,0,,,,1.54,0.02,0,320.29,201.38,588.52,1,0
"2019-06-01T00:17:11Z","2019-06-01T00:17:11Z",0.1,0.0,,65.27,0.76,0,2.89,0.06,0,38.24,0.76,1,,,,4.88,0.06,0,14.23,0.59,0,,,,1.55,0.02,0,320.41,201.98,588.71,1,0
"2019-06-01T00:22:11Z","2019-06-01T00:22:11Z",0.1,0.0,,65.58,0.77,0,3.06,0.06,0,40.56,0.80,1,,,,4.89,0.06,0,14.23,0.59,0,,,,1.45,0.02,0,317.78,200.28,583.89,1,0
"2019-06-01T00:27:11Z","2019-06-01T00:27:11Z",0.1,0.0,,65.65,0.77,0,3.05,0.06,0,40.26,0.80,1,,,,4.88,0.06,0,14.12,0.59,0,,,,1.49,0.02,0,318.00,200.78,584.27,1,0
"2019-06-01T00:32:11Z","2019-06-01T00:32:11Z",0.1,0.0,,65.30,0.76,0,2.38,0.05,0,31.48,0.62,1,,,,4.89,0.06,0,14.05,0.58,0,,,,1.62,0.03,0,320.38,202.26,588.74,1,0
"2019-06-01T00:37:11Z","2019-06-01T00:37:11Z",0.1,0.0,,65.51,0.77,0,2.18,0.04,0,28.69,0.57,1,,,,4.88,0.06,0,14.17,0.59,0,,,,1.44,0.02,0,317.90,201.20,584.17,1,0
"2019-06-01T00:42:11Z","2019-06-01T00:42:11Z",0.1,0.0,,65.44,0.77,0,2.57,0.05,0,33.90,0.67,1,,,,4.89,0.06,0,14.10,0.59,0,,,,1.50,0.02,0,317.84,201.02,584.05,1,0
"2019-06-01T00:47:11Z","2019-06-01T00:47:11Z",0.1,0.0,,65.44,0.77,0,2.19,0.04,0,28.80,0.57,1,,,,4.89,0.06,0,14.21,0.59,0,,,,1.61,0.03,0,317.06,200.58,582.69,1,0
"2019-06-01T00:52:11Z","2019-06-01T00:52:11Z",0.1,0.0,,65.52,0.77,0,2.36,0.05,0,31.25,0.62,1,,,,4.89,0.06,0,14.26,0.59,0,,,,1.44,0.02,0,316.92,199.90,582.45,1,0
"2019-06-01T00:57:11Z","2019-06-01T00:57:11Z",0.2,0.0,,65.40,0.77,0,2.16,0.04,0,28.44,0.56,1,,,,4.89,0.06,0,14.20,0.59,0,,,,1.49,0.02,0,318.20,201.14,584.79,1,0
"2019-06-01T01:02:11Z","2019-06-01T01:02:11Z",0.2,0.0,,65.38,0.76,0,2.69,0.05,0,35.58,0.70,1,,,,4.90,0.06,0,14.24,0.59,0,,,,1.39,0.02,0,318.69,200.98,585.75,1,0
"2019-06-01T01:07:01Z","2019-06-01T01:07:01Z",0.1,0.0,,65.45,0.77,1,2.83,0.06,0,37.42,0.74,0,,,,5.09,0.06,1,14.11,0.59,0,,,,1.46,0.02,0,319.10,201.42,586.50,1,0
"2019-06-01T01:12:01Z","2019-06-01T01:12:01Z",0.1,0.0,,0.00,0.00,1,2.90,0.06,0,38.34,0.76,1,,,,5.10,0.06,1,14.20,0.59,0,,,,1.30,0.02,0,237.13,200.77,436.08,1,0
"2019-06-01T01:17:11Z","2019-06-01T01:17:11Z",0.1,0.0,,65.29,0.76,1,2.72,0.05,0,35.92,0.71,1,,,,4.91,0.06,0,14.27,0.59,0,,,,1.58,0.02,0,317.87,200.58,584.31,1,0
"2019-06-01T01:22:11Z","2019-06-01T01:22:11Z",0.1,0.0,,65.29,0.76,0,2.94,0.06,0,38.91,0.77,1,,,,4.91,0.06,0,14.21,0.59,0,,,,1.42,0.02,0,317.77,200.47,584.12,1,0
"2019-06-01T01:27:01Z","2019-06-01T01:27:01Z",0.1,0.0,,65.42,0.77,0,2.88,0.06,0,38.04,0.75,0,,,,5.05,0.06,1,14.22,0.59,0,,,,1.43,0.02,0,317.77,200.65,584.11,1,0
"2019-06-01T01:32:11Z","2019-06-01T01:32:11Z",0.1,0.0,,65.28,0.76,0,2.87,0.06,0,38.03,0.75,0,,,,4.91,0.06,0,14.30,0.59,0,,,,1.47,0.02,0,318.86,201.08,586.18,1,0
"2019-06-01T01:37:11Z","2019-06-01T01:37:11Z",0.1,0.0,,65.30,0.76,1,2.91,0.06,0,38.55,0.76,0,,,,4.92,0.06,0,14.48,0.60,0,,,,1.48,0.02,0,318.43,200.72,585.40,1,0
"2019-06-01T01:42:01Z","2019-06-01T01:42:01Z",0.1,0.0,,0.00,0.00,1,2.86,0.06,0,37.91,0.75,0,,,,5.06,0.06,1,14.41,0.60,0,,,,1.39,0.02,0,237.12,200.80,436.14,1,0
"2019-06-01T01:47:11Z","2019-06-01T01:47:11Z",0.1,0.0,,65.39,0.77,1,2.83,0.06,0,37.48,0.74,0,,,,4.92,0.06,0,14.19,0.59,0,,,,1.39,0.02,0,318.49,200.96,585.51,1,0
"2019-06-01T01:52:11Z","2019-06-01T01:52:11Z",0.1,0.0,,65.51,0.77,0,2.83,0.06,0,37.41,0.74,0,,,,4.92,0.06,0,14.21,0.59,0,,,,1.37,0.02,0,317.47,200.34,583.64,1,0
"2019-06-01T01:57:11Z","2019-06-01T01:57:11Z",0.1,0.0,,65.39,0.77,0,2.90,0.06,0,38.59,0.76,0,,,,4.92,0.06,0,14.20,0.59,0,,,,1.41,0.02,0,318.77,200.52,586.05,1,0
"2019-06-01T02:02:01Z","2019-06-01T02:02:01Z",0.1,0.0,,65.55,0.77,0,3.00,0.06,0,39.91,0.79,0,,,,5.07,0.06,1,14.24,0.59,0,,,,1.45,0.02,0,318.61,200.54,585.78,1,0
"2019-06-01T02:07:01Z","2019-06-01T02:07:01Z",0.1,0.0,,65.47,0.77,0,3.01,0.06,0,40.07,0.79,0,,,,5.12,0.06,1,14.20,0.59,0,,,,1.32,0.02,0,319.07,200.58,586.64,1,0
"2019-06-01T02:12:11Z","2019-06-01T02:12:11Z",0.1,0.0,,65.52,0.77,0,3.13,0.06,0,41.69,0.83,1,,,,4.93,0.06,0,14.06,0.58,0,,,,1.46,0.02,0,318.43,200.13,585.46,1,0
"2019-06-01T02:17:01Z","2019-06-01T02:17:01Z",0.1,0.0,,65.79,0.77,0,2.84,0.06,0,37.87,0.75,1,,,,5.07,0.06,1,14.37,0.60,0,,,,1.52,0.02,0,318.92,200.81,586.42,1,0
"2019-06-01T02:22:11Z","2019-06-01T02:22:11Z",0.1,0.0,,65.55,0.77,0,3.66,0.07,0,48.88,0.97,1,,,,4.94,0.06,0,14.24,0.59,0,,,,1.43,0.02,0,319.16,200.18,586.88,1,0
"2019-06-01T02:27:11Z","2019-06-01T02:27:11Z",0.1,0.0,,65.26,0.76,0,3.99,0.08,0,53.57,1.06,1,,,,4.95,0.06,0,14.34,0.60,0,,,,1.42,0.02,0,321.08,200.46,590.44,1,0
"2019-06-01T02:32:11Z","2019-06-01T02:32:11Z",0.1,0.0,,65.47,0.77,0,4.14,0.08,0,55.56,1.10,0,,,,4.95,0.06,0,14.26,0.59,0,,,,1.38,0.02,0,318.71,199.10,586.15,1,0
"2019-06-01T02:37:11Z","2019-06-01T02:37:11Z",0.1,0.0,,65.41,0.77,0,4.24,0.08,0,57.08,1.13,0,,,,4.95,0.06,0,14.28,0.59,0,,,,1.37,0.02,0,318.19,198.52,585.19,1,0
"2019-06-01T02:42:11Z","2019-06-01T02:42:11Z",0.1,0.0,,65.40,0.77,0,4.11,0.08,0,55.21,1.09,0,,,,4.95,0.06,0,14.24,0.59,0,,,,1.40,0.02,0,318.26,198.77,585.32,1,0
"2019-06-01T02:47:11Z","2019-06-01T02:47:11Z",0.1,0.0,,65.41,0.77,0,4.25,0.09,0,57.10,1.13,0,,,,4.94,0.06,0,14.22,0.59,0,,,,1.37,0.02,0,317.79,198.45,584.54,1,0
"2019-06-01T02:52:11Z","2019-06-01T02:52:11Z",0.1,0.0,,65.41,0.77,0,4.19,0.08,0,56.30,1.11,0,,,,4.94,0.06,0,14.33,0.60,0,,,,1.39,0.02,0,319.49,199.51,587.67,1,0
"2019-06-01T02:57:11Z","2019-06-01T02:57:11Z",0.1,0.0,,65.41,0.77,0,4.19,0.08,0,56.30,1.11,0,,,,4.93,0.06,0,14.22,0.59,0,,,,1.40,0.02,0,317.40,198.23,583.83,1,0
"2019-06-01T03:02:11Z","2019-06-01T03:02:11Z",0.1,0.0,,65.41,0.77,0,4.07,0.08,0,54.59,1.08,1,,,,4.93,0.06,0,14.26,0.59,0,,,,1.33,0.02,0,318.28,198.89,585.55,1,0
