uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName,identificationHistoryID
"24fe12f1-cf90-4046-af39-7900987e3530","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2019-11-11T19:25Z","2019-11-12T12:53Z","2019-12-18","OSBS_057.20191112.0753.S.01",,"Y",5,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"ec3ef828-f229-439e-9a2c-25053034ce80","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2019-11-11T19:25Z","2019-11-12T12:53Z","2019-12-18","OSBS_057.20191112.0753.S.01",,"Y",3,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Coquillettidia","Coquillettidia","perturbans",,"Coquillettidia perturbans","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"e907572c-6034-4f0b-9a9e-99a4ff6fb529","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2019-11-11T19:25Z","2019-11-12T12:53Z","2019-12-18","OSBS_057.20191112.0753.S.01",,"Y",1,"AEDALB","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Stegomyia","albopictus",,"Aedes albopictus","(Skuse, 1895)","species","I",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"d73f3295-6b1d-4353-b188-26694f373e62","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2019-11-11T19:25Z","2019-11-12T12:53Z","2019-12-18","OSBS_057.20191112.0753.S.01",,"Y",11,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Mansonia","Mansonia","titillans",,"Mansonia titillans","(Walker, 1848)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"e2526120-e525-4a3c-b177-50a0df3a3b2c","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2019-11-11T19:25Z","2019-11-12T12:53Z","2019-12-18","OSBS_057.20191112.0753.S.01",,"Y",5,"CULMEL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culisetini","Culiseta","Climacura","melanura",,"Culiseta melanura","(Coquillett, 1902)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"7df2ef3e-c106-4f7f-bebf-072e8eb41b36","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2019-11-11T19:25Z","2019-11-12T12:53Z","2019-12-18","OSBS_057.20191112.0753.S.01",,"Y",34,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","crucians",,"Anopheles crucians","Wiedemann, 1828","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"84d18265-bee9-4fb7-89fb-874977587e9c","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2019-11-11T19:25Z","2019-11-12T12:53Z","2019-12-18","OSBS_057.20191112.0753.S.01",,"Y",5,"CULCOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","coronator",,"Culex coronator","Dyar and Knab, 1906","species","A",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"1c51e991-6418-4b56-a0ab-5cbdbcd271fe","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2019-11-11T19:25Z","2019-11-12T12:53Z","2019-12-18","OSBS_057.20191112.0753.S.01",,"Y",8,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","nigripalpus",,"Culex nigripalpus","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"770d4de2-4d5f-4178-b292-231ee4242248","OSBS_055.mosquitoPoint.mos","D03","OSBS","OSBS_055","2019-11-11T19:43Z","2019-11-12T13:09Z","2019-12-17","OSBS_055.20191112.0809.S.01",,"Y",6,"CULMEL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culisetini","Culiseta","Climacura","melanura",,"Culiseta melanura","(Coquillett, 1902)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"391698ff-aaa4-4d87-a24b-483e80ea407a","OSBS_055.mosquitoPoint.mos","D03","OSBS","OSBS_055","2019-11-11T19:43Z","2019-11-12T13:09Z","2019-12-17","OSBS_055.20191112.0809.S.01",,"Y",90,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","crucians",,"Anopheles crucians","Wiedemann, 1828","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
