startDateTime,endDateTime,sensorDepth,sensorDepthExpUncert,sensorDepthFinalQF,specificConductance,specificConductanceExpUncert,specificCondFinalQF,dissolvedOxygen,dissolvedOxygenExpUncert,dissolvedOxygenFinalQF,seaLevelDissolvedOxygenSat,seaLevelDOSatExpUncert,seaLevelDOSatFinalQF,localDissolvedOxygenSat,localDOSatExpUncert,localDOSatFinalQF,pH,pHExpUncert,pHFinalQF,chlorophyll,chlorophyllExpUncert,chlorophyllFinalQF,chlaRelativeFluorescence,chlaRelFluoroExpUncert,chlaRelFluoroFinalQF,turbidity,turbidityExpUncert,turbidityFinalQF,fDOM,rawCalibratedfDOM,fDOMExpUncert,fDOMFinalQF,buoyNAFlag
"2018-03-01T00:02:01Z","2018-03-01T00:02:01Z",-10.1,0.0,1,69.73,0.82,0,3.50,0.07,0,39.92,0.79,0,,,,4.70,0.05,0,33.89,1.41,0,,,,-4.78,0.07,1,530.24,184.56,1070.46,1,0
"2018-03-01T00:07:01Z","2018-03-01T00:07:01Z",-10.1,0.0,1,69.75,0.82,0,3.51,0.07,0,40.01,0.79,0,,,,4.70,0.05,0,33.73,1.40,0,,,,-4.65,0.07,1,530.96,184.85,1071.92,1,0
"2018-03-01T00:12:01Z","2018-03-01T00:12:01Z",-10.1,0.0,1,69.62,0.81,0,3.60,0.07,0,41.04,0.81,0,,,,4.71,0.05,0,34.05,1.42,0,,,,-4.71,0.07,1,530.78,184.69,1071.55,1,0
"2018-03-01T00:17:01Z","2018-03-01T00:17:01Z",-10.1,0.0,1,69.64,0.81,0,3.72,0.07,0,42.42,0.84,0,,,,4.71,0.05,0,33.86,1.41,0,,,,-4.83,0.08,1,530.37,184.65,1070.67,1,0
"2018-03-01T00:22:01Z","2018-03-01T00:22:01Z",-10.1,0.0,1,69.63,0.81,0,3.74,0.07,0,42.63,0.84,0,,,,4.77,0.06,0,33.86,1.41,0,,,,-4.78,0.07,1,529.85,184.47,1069.63,1,0
"2018-03-01T00:27:01Z","2018-03-01T00:27:01Z",-10.1,0.0,1,69.66,0.82,0,3.70,0.07,0,42.19,0.84,1,,,,4.71,0.05,0,33.86,1.41,0,,,,-4.82,0.07,1,530.64,184.65,1071.23,1,0
"2018-03-01T00:32:01Z","2018-03-01T00:32:01Z",-10.1,0.0,1,69.87,0.82,0,3.41,0.07,0,38.87,0.77,1,,,,4.72,0.05,0,33.79,1.41,0,,,,-4.80,0.07,1,530.42,184.95,1070.66,1,0
"2018-03-01T00:37:01Z","2018-03-01T00:37:01Z",-10.1,0.0,1,69.84,0.82,0,3.23,0.06,0,36.74,0.73,1,,,,4.74,0.05,0,33.99,1.41,0,,,,-4.75,0.07,1,529.95,184.90,1069.70,1,0
"2018-03-01T00:42:01Z","2018-03-01T00:42:01Z",-10.1,0.0,1,69.64,0.81,0,3.32,0.07,0,37.70,0.75,0,,,,4.75,0.06,0,33.85,1.41,0,,,,-4.74,0.07,1,529.82,184.68,1069.43,1,0
"2018-03-01T00:47:01Z","2018-03-01T00:47:01Z",-10.1,0.0,1,69.80,0.82,0,3.15,0.06,0,35.75,0.71,1,,,,4.70,0.05,0,33.87,1.41,0,,,,-4.70,0.07,1,530.10,184.90,1070.08,1,0
