uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName,identificationHistoryID
"89d01489-6eda-49ab-a848-89f1338f1609","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2021-06-07T20:52Z","2021-06-08T10:51Z","2021-07-21","OSBS_057.20210608.0651.S.01",,"Y",5,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Coquillettidia","Coquillettidia","perturbans",,"Coquillettidia perturbans","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"cf3e23b4-917e-45b0-be44-fd7c727ae678","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2021-06-07T20:52Z","2021-06-08T10:51Z","2021-07-21","OSBS_057.20210608.0651.S.01",,"Y",27,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"36e76c55-e441-4fe9-8b1d-ca485d70e40c","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2021-06-07T20:52Z","2021-06-08T10:51Z","2021-07-21","OSBS_057.20210608.0651.S.01",,"Y",4,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","crucians",,"Anopheles crucians","Wiedemann, 1828","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"2a73c068-44da-4c67-b3f3-261429218751","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2021-06-07T20:52Z","2021-06-08T10:51Z","2021-07-21","OSBS_057.20210608.0651.S.01",,"Y",1,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Mansonia","Mansonia","titillans",,"Mansonia titillans","(Walker, 1848)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"8972d31e-0296-47a3-b2e9-9290252f1cdc","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2021-06-07T20:52Z","2021-06-08T10:51Z","2021-07-21","OSBS_057.20210608.0651.S.01",,"Y",1,"CULCOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","coronator",,"Culex coronator","Dyar and Knab, 1906","species","A",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"ec07fbd8-531f-480b-b90a-af783ef27c08","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2021-06-07T20:52Z","2021-06-08T10:51Z","2021-07-21","OSBS_057.20210608.0651.S.01",,"Y",1,"AEDALB","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Stegomyia","albopictus",,"Aedes albopictus","(Skuse, 1895)","species","I",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"566d075e-1d49-4c7c-80ed-e292ae8e84d9","OSBS_078.mosquitoPoint.mos","D03","OSBS","OSBS_078","2021-06-07T21:03Z","2021-06-08T11:06Z","2021-07-21","OSBS_078.20210608.0706.S.01",,"Y",23,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Coquillettidia","Coquillettidia","perturbans",,"Coquillettidia perturbans","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"6cc931e2-94dc-4908-a8b3-defe1ab5530b","OSBS_078.mosquitoPoint.mos","D03","OSBS","OSBS_078","2021-06-07T21:03Z","2021-06-08T11:06Z","2021-07-21","OSBS_078.20210608.0706.S.01",,"Y",2,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Mansonia","Mansonia","titillans",,"Mansonia titillans","(Walker, 1848)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"976df8bc-1aad-46d5-9691-9103a234f998","OSBS_078.mosquitoPoint.mos","D03","OSBS","OSBS_078","2021-06-07T21:03Z","2021-06-08T11:06Z","2021-07-21","OSBS_078.20210608.0706.S.01",,"Y",5,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","crucians",,"Anopheles crucians","Wiedemann, 1828","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"6d48b834-1008-4eba-bd1a-cb2375a29cb7","OSBS_078.mosquitoPoint.mos","D03","OSBS","OSBS_078","2021-06-07T21:03Z","2021-06-08T11:06Z","2021-07-21","OSBS_078.20210608.0706.S.01",,"Y",66,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
