uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName,identificationHistoryID
"15b233d0-9f04-4da6-a5b6-76f91c6217d1","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-08-07T20:44Z","2018-08-08T11:54Z","2018-09-18","OSBS_056.20180808.0754.S.01",,"Y",71,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International",
"bc945ac8-f11e-48a7-a388-352b03fc275d","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-08-07T20:44Z","2018-08-08T11:54Z","2018-09-18","OSBS_056.20180808.0754.S.01",,"Y",5,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","nigripalpus",,"Culex nigripalpus","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International",
"e8e4b448-9ff4-459b-8791-7e7e42a7f708","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-08-07T20:44Z","2018-08-08T11:54Z","2018-09-18","OSBS_056.20180808.0754.S.01",,"Y",29,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Mansonia","Mansonia","titillans",,"Mansonia titillans","(Walker, 1848)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International",
"5d25750f-e732-44e2-bdde-f60b2ee8344e","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-08-07T20:44Z","2018-08-08T11:54Z","2018-09-18","OSBS_056.20180808.0754.S.01",,"Y",17,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Coquillettidia","Coquillettidia","perturbans",,"Coquillettidia perturbans","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International",
"8860177c-4d1b-4ae3-9760-9b8729cff33d","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2018-08-07T20:44Z","2018-08-08T11:54Z","2018-09-18","OSBS_056.20180808.0754.S.01",,"Y",7,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","crucians",,"Anopheles crucians","Wiedemann, 1828","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International",
"67365614-f20a-4c79-860b-b69a6296a693","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2018-08-07T20:58Z","2018-08-08T12:10Z","2018-09-18","OSBS_057.20180808.0810.S.01",,"Y",91,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"4578b05c-4c40-4e8d-9e9c-fcebbf1f64c6","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2018-08-07T20:58Z","2018-08-08T12:10Z","2018-09-18","OSBS_057.20180808.0810.S.01",,"Y",4,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","crucians",,"Anopheles crucians","Wiedemann, 1828","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"c1f11f3a-2dae-4a99-be23-a0802938dcd4","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2018-08-07T20:58Z","2018-08-08T12:10Z","2018-09-18","OSBS_057.20180808.0810.S.01",,"Y",24,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","nigripalpus",,"Culex nigripalpus","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"35b5c200-e0dc-4e0d-a10a-76d0ed28419e","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2018-08-07T20:58Z","2018-08-08T12:10Z","2018-09-18","OSBS_057.20180808.0810.S.01",,"Y",1,"PSOFER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Psorophora","Janthinosoma","ferox",,"Psorophora ferox","(Humboldt, 1819)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"12abd540-94c6-4ddc-a182-5d66c9fe703e","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2018-08-07T20:58Z","2018-08-08T12:10Z","2018-09-18","OSBS_057.20180808.0810.S.01",,"Y",79,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Coquillettidia","Coquillettidia","perturbans",,"Coquillettidia perturbans","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
