startDateTime,endDateTime,sensorDepth,sensorDepthExpUncert,sensorDepthFinalQF,specificConductance,specificConductanceExpUncert,specificCondFinalQF,dissolvedOxygen,dissolvedOxygenExpUncert,dissolvedOxygenFinalQF,seaLevelDissolvedOxygenSat,seaLevelDOSatExpUncert,seaLevelDOSatFinalQF,localDissolvedOxygenSat,localDOSatExpUncert,localDOSatFinalQF,pH,pHExpUncert,pHFinalQF,chlorophyll,chlorophyllExpUncert,chlorophyllFinalQF,chlaRelativeFluorescence,chlaRelFluoroExpUncert,chlaRelFluoroFinalQF,turbidity,turbidityExpUncert,turbidityFinalQF,fDOM,rawCalibratedfDOM,fDOMExpUncert,fDOMFinalQF,buoyNAFlag
"2019-10-01T00:02:11Z","2019-10-01T00:02:11Z",0.6,0.0,,63.70,0.75,0,4.60,0.09,0,59.85,1.19,0,,,,5.02,0.06,0,13.50,0.56,0,,,,0.47,0.01,0,258.08,234.27,12.69,1,0
"2019-10-01T00:07:11Z","2019-10-01T00:07:11Z",0.6,0.0,,63.71,0.75,0,4.64,0.09,0,60.30,1.19,0,,,,5.02,0.06,0,13.54,0.56,0,,,,0.44,0.01,0,257.25,233.52,12.65,1,0
"2019-10-01T00:12:11Z","2019-10-01T00:12:11Z",0.6,0.0,,63.71,0.75,0,4.64,0.09,0,60.36,1.20,0,,,,5.02,0.06,0,13.45,0.56,0,,,,0.51,0.01,0,257.15,233.40,12.66,1,0
"2019-10-01T00:17:11Z","2019-10-01T00:17:11Z",0.6,0.0,,63.70,0.75,0,4.70,0.09,0,61.11,1.21,0,,,,5.02,0.06,0,13.54,0.56,0,,,,0.50,0.01,0,257.36,233.54,12.70,1,0
"2019-10-01T00:22:11Z","2019-10-01T00:22:11Z",0.6,0.0,,63.73,0.75,0,4.64,0.09,0,60.34,1.19,0,,,,5.02,0.06,0,13.44,0.56,0,,,,0.51,0.01,0,257.63,233.86,12.67,1,0
"2019-10-01T00:27:11Z","2019-10-01T00:27:11Z",0.6,0.0,,63.69,0.75,0,4.66,0.09,0,60.55,1.20,0,,,,5.02,0.06,0,13.49,0.56,0,,,,0.55,0.01,0,257.09,233.34,12.66,1,0
"2019-10-01T00:32:11Z","2019-10-01T00:32:11Z",0.6,0.0,,63.72,0.75,0,4.65,0.09,0,60.42,1.20,0,,,,5.02,0.06,0,13.44,0.56,0,,,,0.47,0.01,0,258.18,234.39,12.68,1,0
"2019-10-01T00:37:11Z","2019-10-01T00:37:11Z",0.6,0.0,,63.70,0.75,0,4.63,0.09,0,60.19,1.19,0,,,,5.02,0.06,0,13.59,0.57,0,,,,0.49,0.01,0,257.38,233.69,12.63,1,0
"2019-10-01T00:42:11Z","2019-10-01T00:42:11Z",0.6,0.0,,63.70,0.75,0,4.58,0.09,0,59.48,1.18,0,,,,5.02,0.06,0,13.49,0.56,0,,,,0.56,0.01,0,256.67,233.09,12.56,1,0
"2019-10-01T00:47:11Z","2019-10-01T00:47:11Z",0.6,0.0,,63.71,0.75,0,4.59,0.09,0,59.66,1.18,0,,,,5.02,0.06,0,13.60,0.57,0,,,,0.45,0.01,0,257.79,234.11,12.62,1,0
"2019-10-01T00:52:11Z","2019-10-01T00:52:11Z",0.6,0.0,,63.72,0.75,0,4.69,0.09,0,60.94,1.21,0,,,,5.02,0.06,0,13.60,0.57,0,,,,0.53,0.01,0,256.62,233.02,12.58,1,0
"2019-10-01T00:57:11Z","2019-10-01T00:57:11Z",0.6,0.0,,63.71,0.75,0,4.62,0.09,0,60.02,1.19,0,,,,5.02,0.06,0,13.45,0.56,0,,,,0.56,0.01,0,255.87,232.42,12.49,1,0
"2019-10-01T01:02:11Z","2019-10-01T01:02:11Z",0.6,0.0,,63.71,0.75,0,4.63,0.09,0,60.17,1.19,0,,,,5.02,0.06,0,13.54,0.56,0,,,,0.53,0.01,0,257.11,233.52,12.57,1,0
